"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source"
"Hsiao D.; Liao Q.; Su W.","Hsiao, Daniel (57189901211); Liao, Qunfeng (56818466600); Su, Weichieh (55075641000)","57189901211; 56818466600; 55075641000","Too dark to see: Does board governance moderate the relationship between carbon emissions and analyst forecast errors?","2024","Journal of Corporate Accounting and Finance","35","2","","303","322","19","2","10.1002/jcaf.22687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178178937&doi=10.1002%2fjcaf.22687&partnerID=40&md5=16f30684b38c565f1bad9a833bc299a1","College of Business, Texas A&M University–Commerce, Commerce, TX, United States; School of Business Administration, Oakland University, Rochester, MI, United States; College of Commerce, National Chengchi University, Taipei, Taiwan","Hsiao D., College of Business, Texas A&M University–Commerce, Commerce, TX, United States; Liao Q., School of Business Administration, Oakland University, Rochester, MI, United States; Su W., College of Commerce, National Chengchi University, Taipei, Taiwan","This study aims to demonstrate that carbon emissions may increase analyst forecast errors because poor environmental performance obscures prospects for business operations. We further examine whether strong board governance moderates such a relationship. Using a sample of S&P 500 firms from the Carbon Disclosure Project (CDP), we employ Heckman's two-stage model to examine our research questions. We find a positive association between carbon intensity and forecast errors, but strong board governance, captured by board independence, board diligence, and committee size, may mitigate this positive relationship. However, the effect is amplified for firms engaged in controversial governance practices such as CEO duality and long CEO tenure. Our study provides insight for managers by raising concerns due to high levels of carbon emissions and demonstrating that different governance characteristics may alleviate the adverse effect of carbon emissions on forecast errors. © 2023 Wiley Periodicals LLC.","analyst forecast errors; board governance; Carbon Disclosure Project (CDP); carbon emissions","","D. Hsiao; College of Business, Texas AM University–Commerce, Commerce, 75429-3011, United States; email: daniel.hsiao@tamuc.edu","English","J. corp. account. finance","Article","Final","","Scopus"
"Saptono P.B.; Mahmud G.; Pratiwi I.; Purwanto D.; Khozen I.; Aditama M.A.; Khodijah S.; Wayan M.E.; Asmara R.Y.; Jie F.","Saptono, Prianto Budi (57720247600); Mahmud, Gustofan (57719669800); Pratiwi, Intan (57210895186); Purwanto, Dwi (58159136900); Khozen, Ismail (58159333700); Aditama, Muhamad Akbar (58159517900); Khodijah, Siti (58122590700); Wayan, Maria Eurelia (58513186400); Asmara, Rina Yuliastuty (57205572458); Jie, Ferry (55320767200)","57720247600; 57719669800; 57210895186; 58159136900; 58159333700; 58159517900; 58122590700; 58513186400; 57205572458; 55320767200","Development of Climate-Related Disclosure Indicators for Application in Indonesia: A Delphi Method Study","2023","Sustainability (Switzerland)","15","14","10915","","","","2","10.3390/su151410915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166233244&doi=10.3390%2fsu151410915&partnerID=40&md5=95ec02ecf07aa631c7c68c8ecf43472b","Department of Fiscal Administration, Universitas Indonesia, Depok, 16424, Indonesia; Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia; Accounting Department, Sekolah Tinggi Ilmu Ekonomi Swadaya, Jakarta, 13620, Indonesia; Department of Business Administration, Universitas Indonesia, Depok, 16424, Indonesia; Accounting Department, Mercu Buana University, Jakarta, 11650, Indonesia; School of Business and Law, Edith Cowan University, Joondalup, 6027, WA, Australia","Saptono P.B., Department of Fiscal Administration, Universitas Indonesia, Depok, 16424, Indonesia; Mahmud G., Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia, Accounting Department, Sekolah Tinggi Ilmu Ekonomi Swadaya, Jakarta, 13620, Indonesia; Pratiwi I., Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia; Purwanto D., Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia; Khozen I., Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia; Aditama M.A., Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia; Khodijah S., Department of Fiscal Administration, Universitas Indonesia, Depok, 16424, Indonesia, Accounting Research Department, Pratama Institute for Fiscal and Governance Studies, Jakarta, 12530, Indonesia; Wayan M.E., Department of Business Administration, Universitas Indonesia, Depok, 16424, Indonesia; Asmara R.Y., Accounting Department, Mercu Buana University, Jakarta, 11650, Indonesia; Jie F., School of Business and Law, Edith Cowan University, Joondalup, 6027, WA, Australia","Indonesia is currently preparing to adopt the climate-related disclosure standard. Before this new standard is implemented effectively, the Institute of Indonesia Chartered Accountants (IAI), the Indonesia Task Force on Comprehensive Corporate Reporting (CCR) leader, recognised the importance of harmonising this standard’s key disclosure indicators with Indonesian regulations and business characteristics. In this case, input from various constituencies may be required, particularly regarding the mechanism that enables entities with varying capabilities and levels of preparation to apply this new standard. Hence, the main objective of this paper is to develop weighted and applicable climate-related disclosure indicators. We use the Delphi method to achieve this objective by involving several experts representing various user groups that influence accounting standard formulation in Indonesia. The Delphi method is a decision-making tool that establishes an effective communication process, facilitating complex problem solving. This study finalised 44 climate-related disclosure indicators based on the results of two Delphi rounds. Overall, 48% (21/44) of climate-related disclosure indicators were identified to be highly applicable. Among these high-relevance indicators, there were 10% (2/21) Governance, 24% (5/21) Strategy, 42% (9/21) Risk Management, and 24% (5/21) Metrics and Targets indicators. Additionally, around 20% (9/44) of climate-related disclosure indicators received 100% approval from the experts. Along with various essential implications, we argue that these results provide useful additional information for the national standard setter for the climate-related disclosure standard that are efficient and less burdensome to entities. © 2023 by the authors.","applicable indicators; climate-related disclosure; Delphi method; Indonesia; the national standard setting process","Indonesia; communication; Delphi analysis; environmental indicator; spatiotemporal analysis","P.B. Saptono; Department of Fiscal Administration, Universitas Indonesia, Depok, 16424, Indonesia; email: prianto.saptono@ui.ac.id; F. Jie; School of Business and Law, Edith Cowan University, Joondalup, 6027, Australia; email: f.jie@ecu.edu.au","English","Sustainability","Article","Final","All Open Access; Gold Open Access","Scopus"
"Chang Y.J.; Yoo J.W.","Chang, Yu Jin (58000441800); Yoo, Jae Wook (36882187800)","58000441800; 36882187800","How Does the Degree of Competition in an Industry Affect a Company’s Environmental Management and Performance?","2023","Sustainability (Switzerland)","15","9","7675","","","","4","10.3390/su15097675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159328338&doi=10.3390%2fsu15097675&partnerID=40&md5=7bc2d4c488c4cac637dcb0420a7d3e3c","Department of Business Administration, Anyang University, Anyang, 14028, South Korea; College of Business Administration, Konkuk University, Seoul, 05029, South Korea","Chang Y.J., Department of Business Administration, Anyang University, Anyang, 14028, South Korea; Yoo J.W., College of Business Administration, Konkuk University, Seoul, 05029, South Korea","Environmental management, which was recognized as a functional part of corporate management, has recently been recognized as a strategic element of all business activities. It can be defined as a series of management activities to improve environmental performance throughout the business process and simultaneously achieve profitability and sustainability. Accordingly, businesses are now abandoning the existing management philosophy that economic and environmental feasibility are inevitably in conflict and establishing strategies and methods to achieve both. Meanwhile, industry affects the business performance of individual companies. Since the performance of a company tends to be influenced by the intensity of competition in an industry, it is necessary to analyze the structural factors that determine the intensity of competition in an industry in order to predict the future performance of a company. Therefore, we studied how environmental management affects corporate performance given the level of industry competition. The results are as follows. First, environmental management positively impacts corporate performance. Second, a high level of competition within an industry moderates the relationship between environmental management and corporate performance. By verifying the influence of the industry to which a company belongs, that is, the level of competition within the industry, we confirm that a company’s environmental management can be used strategically to gain a competitive advantage. With the finding that the impact of a company’s environmental practices differs by industry in line with the degree of competition, we expect this study to be helpful for future research into strategic ESG activities. © 2023 by the authors.","corporate performance; environmental management; ESG; industry competition; industry concentration","business; environmental management; industrial enterprise; management practice; strategic approach; sustainability","J.W. Yoo; College of Business Administration, Konkuk University, Seoul, 05029, South Korea; email: jwyoo@konkuk.ac.kr","English","Sustainability","Article","Final","All Open Access; Gold Open Access","Scopus"
"Kotkova Striteska M.; Myslivcova K.; Prokop V.; Zapletalova L.","Kotkova Striteska, Michaela (42162317600); Myslivcova, Katerina (58723068900); Prokop, Viktor (56730664100); Zapletalova, Lucie (58722542700)","42162317600; 58723068900; 56730664100; 58722542700","Employees' engagement, family ownership, or gender diversity? Searching for determinants of SMEs' green behaviors in CEE countries","2024","Corporate Social Responsibility and Environmental Management","31","4","","3065","3080","15","12","10.1002/csr.2736","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185130432&doi=10.1002%2fcsr.2736&partnerID=40&md5=72c7b5a9506a3c94337326dad7258b54","Faculty of Economics and Administration, University of Pardubice, Pardubice, Czech Republic","Kotkova Striteska M., Faculty of Economics and Administration, University of Pardubice, Pardubice, Czech Republic; Myslivcova K., Faculty of Economics and Administration, University of Pardubice, Pardubice, Czech Republic; Prokop V., Faculty of Economics and Administration, University of Pardubice, Pardubice, Czech Republic; Zapletalova L., Faculty of Economics and Administration, University of Pardubice, Pardubice, Czech Republic","Results of this study go against previous expectations regarding the positive effects of boards' and owners' gender diversity and family ownership on SMEs' green behaviors, expressed by the implementation of proactive environmental strategies (PES) and energy consumption monitoring (ECM). We show that such generally accepted and recommended concepts may not always work, specifically within Central and Eastern European (CEE) countries. Based on the foundations of stakeholder theory, we surprisingly reject hypotheses expecting positive effects of boards' gender diversity on SMEs' green behaviors. Compared to the research to date, we newly examine the effect of the frequency of manager–employee meetings on SMEs' green behaviors. We show that SMEs' implementation of PES and ECM requires a different frequency of employee engagements. In addition, we confirm that the presence of environmental managers is fruitful for the implementation of PES in family firms. We also reveal that family firms' ECM is significantly triggered by energy taxes, but also by the owners' gender diversity. By linking the managerial perspective including employees' engagement and PES with the technical discipline of ECM, this study provides several theoretical and practical implications. © 2024 The Authors. Corporate Social Responsibility and Environmental Management published by ERP Environment and John Wiley & Sons Ltd.","environmental behaviors; family firms; gender diversity; SMEs; stakeholder theory","","V. Prokop; Faculty of Economics and Administration, University of Pardubice, Pardubice, Czech Republic; email: viktor.prokop@upce.cz","English","Corp. Soc. Responsib. Environ. Manage.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Xu Y.; Zhao X.; Wang J.; Xie P.","Xu, Yong (57274196900); Zhao, Xin (57210285679); Wang, Jian (57930733200); Xie, Peijun (57225903409)","57274196900; 57210285679; 57930733200; 57225903409","Clarifying the dispute of corporate social responsibility: Evidence from green technological innovation","2023","Technology in Society","75","","102392","","","","11","10.1016/j.techsoc.2023.102392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175265887&doi=10.1016%2fj.techsoc.2023.102392&partnerID=40&md5=9c418c03b7ffc10d39501b218bbc82c7","Business School, Hunan University, Changsha, 410082, China; School of Statistics and Applied Mathematics, Anhui University of Finance and Economics, Bengbu, 233000, China; School of Economics, Lanzhou University, Lanzhou, 730000, China; Accounting School, Hunan University of Finance and Economics, Changsha, 410205, China","Xu Y., Business School, Hunan University, Changsha, 410082, China; Zhao X., School of Statistics and Applied Mathematics, Anhui University of Finance and Economics, Bengbu, 233000, China; Wang J., School of Economics, Lanzhou University, Lanzhou, 730000, China; Xie P., Accounting School, Hunan University of Finance and Economics, Changsha, 410205, China","Although both corporate social responsibility (CSR) and green technological innovation (GTI) are beneficial to firm development, little is known about whether they can function well together. Drawing on the combination of stakeholder theory (ST) and attention-based view (ABV), this study adopts the double fixed effect model and the mediation effect model, using a sample of Chinese manufacturing listed firms from 2010 to 2021. The findings show: (1) CSR has a negative impact on GTI quantity and quality, with the impact on GTI quantity more severe. (2) Such hindering effects are caused by reduced R&D investment and increased internal control. (3) CSR's impediment of GTI is particularly significant among SOEs, high-tech, and non-high polluting firms. These conclusions remain robust after using alternative CSR measurements, Poisson/Probit regression model, instrumental variable test, and excluding the exogenous influence of COVID-19. These findings enhance the existing literature on CSR and GTI, and can be significant in improving investor decisions. © 2023 Elsevier Ltd","Corporate social responsibility; Green technological innovation; Innovation quality; Innovation quantity; Manufacturing firms","China; Economic and social effects; Investments; Regression analysis; Social aspects; Attention-based views; Corporate social responsibility; Effect model; Fixed effect models; Green technological innovation; Innovation quality; Innovation quantity; Manufacturing firms; Stakeholder theory; Technological innovation; corporate social responsibility; COVID-19; decision making; green economy; industrial development; innovation; manufacturing; qualitative analysis; quantitative analysis; research and development; technological development; COVID-19","J. Wang; School of Economics, Lanzhou University, Lanzhou, 730000, China; email: wangjian12344@163.com","English","Technol. Soc.","Article","Final","","Scopus"
"Tao H.; Zhuang S.; Xue R.; Cao W.; Tian J.; Shan Y.","Tao, Hu (57552194200); Zhuang, Shan (57353372000); Xue, Rui (57201613542); Cao, Wei (57680679800); Tian, Jinfang (57217236921); Shan, Yuli (56015318000)","57552194200; 57353372000; 57201613542; 57680679800; 57217236921; 56015318000","Environmental Finance: An Interdisciplinary Review","2022","Technological Forecasting and Social Change","179","","121639","","","","113","10.1016/j.techfore.2022.121639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127293875&doi=10.1016%2fj.techfore.2022.121639&partnerID=40&md5=e1925b2a02a71cb5b6a9cba88f2ab69c","School of Business Administration, Shandong University of Finance and Economics, Jinan, 250014, Shandong, China; Centre for Corporate Sustainability and Environmental Finance, Department of Applied Finance, Macquarie University, Sydney, 2109, NSW, Australia; School of Urban and Regional Science | Shanghai University of Finance and Economics, Shanghai, 200433, China; School of Statistics and Mathematics | Shandong University of Finance and Economics, Shandong, Jinan, 250014, China; Research Center for Statistics and Interdisciplinary Sciences | Shandong University of Finance and Economics, Shandong, Jinan, 250014, China; Integrated Research on Energy, Environment and Society (IREES), Energy and Sustainability Research Institute Groningen | University of Groningen, AG, Groningen, 9747, Netherlands; School of Geography, Earth and Environmental Sciences | University of Birmingham, UK, Birmingham, B15 2TT, United Kingdom","Tao H., School of Business Administration, Shandong University of Finance and Economics, Jinan, 250014, Shandong, China; Zhuang S., School of Business Administration, Shandong University of Finance and Economics, Jinan, 250014, Shandong, China; Xue R., Centre for Corporate Sustainability and Environmental Finance, Department of Applied Finance, Macquarie University, Sydney, 2109, NSW, Australia; Cao W., School of Urban and Regional Science | Shanghai University of Finance and Economics, Shanghai, 200433, China; Tian J., School of Statistics and Mathematics | Shandong University of Finance and Economics, Shandong, Jinan, 250014, China, Research Center for Statistics and Interdisciplinary Sciences | Shandong University of Finance and Economics, Shandong, Jinan, 250014, China; Shan Y., Integrated Research on Energy, Environment and Society (IREES), Energy and Sustainability Research Institute Groningen | University of Groningen, AG, Groningen, 9747, Netherlands, School of Geography, Earth and Environmental Sciences | University of Birmingham, UK, Birmingham, B15 2TT, United Kingdom","Environmental finance has gained considerable attention globally as an emerging interdisciplinary research area. This study uses bibliometric analysis to systematically review major studies on environmental finance-related areas published since the 1970s. Through a bibliometric analysis of 892 environmental finance-related articles sourced from the Web of Science database, we identified the main research streams and illustrated the trending research themes of environmental finance. We find that publications related to environmental finance have increased exponentially over the past decade. Current research streams include corporate and social responsibility (CSR), climate negotiations, natural gas price volatility, national policy, and cost comparisons. Further analysis of the recent five years of literature shows that emerging research topics include climate finance, sustainable finance, firm value, climate risk, and green bonds. Finally, we conclude with a future research agenda for environmental finance. © 2022 The Author(s)","Bibliometric analysis; CiteSpace; Environmental finance; Interdisciplinary research; Research agenda","Natural gas; Risk assessment; Social aspects; 'current; Bibliometrics analysis; Citespace; Corporate and social responsibilities; Environmental finance; Interdisciplinary research; Natural gas price; Research agenda; Research areas; Web of Science; comparative study; financial system; interdisciplinary approach; research work; technological change; technological development; Finance","","English","Technol. Forecast. Soc. Change","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus"
"Anderson P.; Kokole D.; Jané Llopis E.; Burton R.; Lachenmeier D.W.","Anderson, Peter (7404424409); Kokole, Daša (57190306137); Jané Llopis, Eva (6508173444); Burton, Robyn (56693817200); Lachenmeier, Dirk W. (6602000341)","7404424409; 57190306137; 6508173444; 56693817200; 6602000341","Lower Strength Alcohol Products—A Realist Review-Based Road Map for European Policy Making","2022","Nutrients","14","18","3779","","","","12","10.3390/nu14183779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138421230&doi=10.3390%2fnu14183779&partnerID=40&md5=ee6d294a3d3523c2ab6cf0be056f3b5e","Department of Health Promotion, CAPHRI Care and Public Health Research Institute, Maastricht University, Maastricht, 6200 MD, Netherlands; Population Health Sciences Institute, Newcastle University, Newcastle upon Tyne, NE2 4AX, United Kingdom; ESADE Business School, Ramon Llull University, Barcelona, 08034, Spain; Institute of Psychiatry, Psychology, and Neuroscience, King’s College London, London, SE5 8AF, United Kingdom; Chemisches und Veterinäruntersuchungsamt (CVUA) Karlsruhe, Weissenburger Straße 3, Karlsruhe, 76187, Germany","Anderson P., Department of Health Promotion, CAPHRI Care and Public Health Research Institute, Maastricht University, Maastricht, 6200 MD, Netherlands, Population Health Sciences Institute, Newcastle University, Newcastle upon Tyne, NE2 4AX, United Kingdom; Kokole D., Department of Health Promotion, CAPHRI Care and Public Health Research Institute, Maastricht University, Maastricht, 6200 MD, Netherlands; Jané Llopis E., ESADE Business School, Ramon Llull University, Barcelona, 08034, Spain; Burton R., Institute of Psychiatry, Psychology, and Neuroscience, King’s College London, London, SE5 8AF, United Kingdom; Lachenmeier D.W., Chemisches und Veterinäruntersuchungsamt (CVUA) Karlsruhe, Weissenburger Straße 3, Karlsruhe, 76187, Germany","This paper reports the result of a realist review based on a theory of change that substitution of higher strength alcohol products with lower strength alcohol products leads to decreases in overall levels of alcohol consumption in populations and consumer groups. The paper summarizes the results of 128 publications across twelve different themes. European consumers are increasingly buying and drinking lower strength alcohol products over time, with some two fifths doing so to drink less alcohol. It tends to be younger more socially advantaged men, and existing heavier buyers and drinkers of alcohol, who take up lower strength alcohol products. Substitution leads to a lower number of grams of alcohol bought and drunk. Although based on limited studies, buying and drinking lower strength products do not appear to act as gateways to buying and drinking higher strength products. Producer companies are increasing the availability of lower strength alcohol products, particularly for beer, with extra costs of production offset by income from sales. Lower strength alcohol products tend to be marketed as compliments to, rather than substitutes of, existing alcohol consumption, with, to date, the impact of such marketing not evaluated. Production of lower strength alcohol products could impair the impact of existing alcohol policy through alibi marketing (using the brand of lower strength products to promote higher strength products), broadened normalization of drinking cultures, and pressure to weaken policies. In addition to increasing the availability of lower strength products and improved labelling, the key policy that favours substitution of higher strength alcohol products with lower strength products is an alcohol tax based on the dose of alcohol across all products. © 2022 by the authors.","household purchase data; lower strength alcohol products; realist review; substitution","Alcohol Drinking; Alcoholic Beverages; Beer; Commerce; Humans; Male; Policy Making; Public Policy; alcohol consumption; beer; consumer attitude; controlled study; cost; income; marketing; public policy; purchasing; Review; alcoholic beverage; beer; commercial phenomena; drinking behavior; human; male; management; public policy","P. Anderson; Department of Health Promotion, CAPHRI Care and Public Health Research Institute, Maastricht University, Maastricht, 6200 MD, Netherlands; email: peteranderson.mail@gmail.com","English","Nutrients","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Mondal A.; Sinha I.","Mondal, Arindam (57194284196); Sinha, Indrani (59711798100)","57194284196; 59711798100","A configurational analysis of digital technology, environmental, and social concerns on the internationalization of entrepreneurial ventures","2025","Management Decision","","","","","","","0","10.1108/MD-01-2024-0165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001156435&doi=10.1108%2fMD-01-2024-0165&partnerID=40&md5=e9432ee3b571baa751a3ecf12d6d10a9","Department of Strategic Management, XLRI - Xavier School of Management, Jamshedpur, India","Mondal A., Department of Strategic Management, XLRI - Xavier School of Management, Jamshedpur, India; Sinha I., Department of Strategic Management, XLRI - Xavier School of Management, Jamshedpur, India","Purpose: This research aims to better understand the phenomena of international entrepreneurship and cross-border expansion of new ventures. Various factors, including technological advances, environmental standards and social conditions, influence it. This paper investigates the complex dynamics of such interconnected factors shaping their internationalization strategies. Design/methodology/approach: Given the multifaceted nature of the internationalization of entrepreneurial ventures, we followed a configurational approach fuzzy-set qualitative comparative analysis (fsQCA) in our study, using data from the Global Entrepreneurship Monitor (GEM) survey report 2022–2023. Findings: The study unveils a complex interplay between the different factors wherein high environmental and social attentions, along with balanced digital technology adoption, give the best international outcomes for new ventures. Our results show that positive internationalization results with higher organizational legitimacy but moderate use of digital technology. This nuanced perspective contests conventional wisdom, demonstrating the need for a thoughtful approach integrating technological expertise with sustainability imperatives. Practical implications: This study establishes a nuanced understanding of how new ventures should approach technological investments and promote environmental and social concerns. This research can help owners/managers to commit sufficient investment in digital resources and ESG-related projects. Originality/value: For the first time, this study focuses on the intersection of organizational legitimacy and tangible resources for creating sustainable competitive advantages in new venture internationalization efforts. The use of configurational analysis is entirely new in this terrain, and the results have huge implications for both managers and academicians. © 2025, Emerald Publishing Limited.","Digital technology; Entrepreneurial ventures; ESG; fsQCA; Internationalization","","I. Sinha; Department of Strategic Management, XLRI - Xavier School of Management, Jamshedpur, India; email: fb22003@astra.xlri.ac.in","English","Manage. Decis.","Article","Article in press","","Scopus"
"García-Salirrosas E.E.; Escobar-Farfán M.; Esponda-Perez J.A.; Millones-Liza D.Y.; Villar-Guevara M.; Haro-Zea K.L.; Gallardo-Canales R.","García-Salirrosas, Elizabeth Emperatriz (57368575100); Escobar-Farfán, Manuel (57118235200); Esponda-Perez, Jorge Alberto (57921247200); Millones-Liza, Dany Yudet (57696794800); Villar-Guevara, Miluska (58099911700); Haro-Zea, Karla Liliana (57665148500); Gallardo-Canales, Rodrigo (57226122321)","57368575100; 57118235200; 57921247200; 57696794800; 58099911700; 57665148500; 57226122321","The impact of perceived value on brand image and loyalty: a study of healthy food brands in emerging markets","2024","Frontiers in Nutrition","11","","1482009","","","","4","10.3389/fnut.2024.1482009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206990383&doi=10.3389%2ffnut.2024.1482009&partnerID=40&md5=7db52ccc0101c6538191dbdf8795a4f8","Grupo de Investigación e Innovación para el Emprendimiento y Sostenibilidad, Universidad Nacional Tecnológica de Lima Sur, Lima, Peru; Department of Administration, Faculty of Administration and Economics, University of Santiago of Chile, Santiago, Chile; Faculty of Nutrition and Food Sciences, Universidad de Ciencias y Artes de Chiapas, Tuxtla Gutiérrez, Mexico; Universidad Tecnológica del Perú, Lima, Peru; EP de Administración, Facultad de Ciencias Empresariales, Universidad Peruana Unión, Juliaca, Peru; Facultad de Ciencias de la Ingeniería, Administrativas y Sociales, Universidad Autónoma de Baja California, Tecate, Mexico; Departamento de Tecnologías de Gestión, Facultad Tecnológica, Universidad de Santiago de Chile, Santiago de Chile, Chile","García-Salirrosas E.E., Grupo de Investigación e Innovación para el Emprendimiento y Sostenibilidad, Universidad Nacional Tecnológica de Lima Sur, Lima, Peru; Escobar-Farfán M., Department of Administration, Faculty of Administration and Economics, University of Santiago of Chile, Santiago, Chile; Esponda-Perez J.A., Faculty of Nutrition and Food Sciences, Universidad de Ciencias y Artes de Chiapas, Tuxtla Gutiérrez, Mexico; Millones-Liza D.Y., Universidad Tecnológica del Perú, Lima, Peru; Villar-Guevara M., EP de Administración, Facultad de Ciencias Empresariales, Universidad Peruana Unión, Juliaca, Peru; Haro-Zea K.L., Facultad de Ciencias de la Ingeniería, Administrativas y Sociales, Universidad Autónoma de Baja California, Tecate, Mexico; Gallardo-Canales R., Departamento de Tecnologías de Gestión, Facultad Tecnológica, Universidad de Santiago de Chile, Santiago de Chile, Chile","Introduction: Food brands that promote a healthy lifestyle are gaining more followers. Healthy food consumers are a conscious and demanding segment that values the quality and benefits they receive from a product and the ethical, environmental, and social impact of their purchasing decisions. The objective of the research is to evaluate the influence of perceived value components on health food brand image and brand loyalty in an emerging market. Methods: A cross-sectional and explanatory study was conducted considering 612 consumers of a healthy brand in Peru. The participants included women (65.2%) and men (34.8%), with ages between 18 and 56 (M = 22.56; SD = 5.95). Data were collected using a self-report form and statistically analyzed using PLS-SEM. Results: The study hypotheses confirmed the impact of perceived emotional value, perceived social value, perceived financial value, and perceived quality on brand image and loyalty. However, the proposed model observes that perceived social value has no impact on brand loyalty. Conclusion: Implementing strategies that help build stronger, healthy brands is part of effective management for business leaders. In this context, the findings indicate that brands should effectively communicate their attributes and offer them that meet and exceed consumer expectations to achieve consumer loyalty. This is a mechanism to consolidate a strong and positive image that facilitates customer loyalty based on perceived value. The results obtained can help marketers and decision-makers in the healthy food industry to design more effective brand strategies, which could increase demand for their healthy products. Copyright © 2024 García-Salirrosas, Escobar-Farfán, Esponda-Perez, Millones-Liza, Villar-Guevara, Haro-Zea and Gallardo-Canales.","brand image; food industry; healthy foods; loyalty; perceived value","","E.E. García-Salirrosas; Grupo de Investigación e Innovación para el Emprendimiento y Sostenibilidad, Universidad Nacional Tecnológica de Lima Sur, Lima, Peru; email: egarcias@untels.edu.pe","English","Front. Nutr.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Waldau R.","Waldau, Ramona (58737708100)","58737708100","A systematic literature review on determinants and outcomes of ESG performance in family firms","2024","Management Review Quarterly","","","","","","","2","10.1007/s11301-024-00462-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203460617&doi=10.1007%2fs11301-024-00462-9&partnerID=40&md5=c12ed337a96e6c7bdd3d51001a7fedba","Research Group of Strategic and International Management, Philipps-Universität Marburg, Marburg (Hesse), Germany","Waldau R., Research Group of Strategic and International Management, Philipps-Universität Marburg, Marburg (Hesse), Germany","As the predominant business type, family firms hold a unique position to influence the global sector’s ESG footprint. However, research on their ESG activities and performance is complex, multi-layered, and currently lacks integration. This review aims to bridge these research disciplines by providing an integrative overview of the current state of family firm ESG literature. By systematically reviewing 127 peer-reviewed studies published between 2000 and mid-2024, I examine the determinants and outcomes of family firm ESG performance, synthesize existing knowledge, and suggest future research directions. The findings reveal the nuanced and at times ambiguous role of family involvement across different ESG dimensions. Additionally, methodological challenges have contributed to inconclusive results in certain areas. This literature review identifies several promising new directions for future research at the intersection of family firm and ESG research to enhance our understanding and foster a more integrated and comprehensive approach to studying ESG in family firms. © The Author(s) 2024.","CSR; Determinants and outcomes; ESG; Family firms; Family ownership; G32; Literature review; M14","","R. Waldau; Research Group of Strategic and International Management, Philipps-Universität Marburg, Marburg (Hesse), Germany; email: waldau@uni-marburg.de","English","Manag. Rev. Q.","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus"
